Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry (including construction), value added (% of GDP)",27.3258283772087,26.4877773440307,27.6606541610101,27.4741071212972,29.219106305293,29.5337641916264,30.9272399436779,30.90323825115,31.1367192407735,31.1213721113498,30.725078228098,30.161679763031,29.3985276906689,28.4048995601154,27.6564012029549,27.34739147794,26.6189999400439,26.500016646713,26.412091901691,24.5964578828891,24.5310661885805,25.8874345670899
"Foreign direct investment, net inflows (BoP, current US$)",3584217307.18756,5128093561.62688,5208967106.27894,3681984671.43429,5429250989.85717,7269407225.61438,20029119267.1396,25227740886.6819,43406277075.8109,35581372929.6642,27396885033.7839,36498654597.8589,23995685014.2142,28153031270.3203,34576643694.1383,44009492129.5319,44458571545.798,39966091358.7384,42117450737.2644,50610647353.5912,64362364994.3754,44727277562.881
Merchandise trade (% of GDP),20.0476120747226,19.3129540339937,20.539756339979,21.642447696166,24.8782866094837,29.5577084281612,31.929257387089,31.1924011619452,43.0279340157607,31.4565328485753,34.4102842549686,42.0924840461063,43.0348931495917,42.0227125539942,38.5264786379953,31.4739415988524,27.2874128929251,28.2547103120256,31.049345978658,28.620309156042,24.351123959702,30.4920663864199
Net barter terms of trade index (2000 = 100),100,97.82157676,88.63089839,96.20109988,91.67654799,87.81561811,85.70052293,81.60509971,81.60509971,95.01240588,93.47166416,89.99256996,90.08283332,92.44597165,93.82252823,104.2283051,107.0105809,102.4693962,96.32259344,98.02427941,105.0955464,96.62574
"Total debt service (% of exports of goods, services and primary income)",17.081068777064,17.9276097726641,20.9247343304358,29.1805226437216,14.504454851842,14.9302344477445,8.63523314642692,15.5909922080123,9.65799265540479,6.0184103184778,6.81923327447653,6.4138689129389,6.71426990966754,8.08000121217609,18.6296205367074,11.2063383547997,17.2633780366708,10.0846698006647,11.3975539196566,9.00225595383776,15.1913040014798,7.31095199733126
Unemployment (%),5.56,5.58,5.53,5.64,5.63,5.61,5.6,5.57,5.41,5.54,5.55,5.43,5.41,5.42,5.44,5.44,5.42,5.36,5.33,5.27,8,5.98
GDP (current US$),468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.659,820381595512.902,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823049927772.05,1827637859506.25,1856722121394.42,2039127446299.3,2103587813812.75,2294797980509.01,2651472946375.05,2702929718960.46,2831552222519.99,2667687951796.5,3176295065497.24
"Inflation, GDP deflator (annual %)",3.64497016112819,3.21561601745069,3.71568377652814,3.86779808617059,5.72541322746282,5.62190326268404,8.40093821713963,6.94441825372725,9.19396962626338,7.04036543496747,10.5260308561853,8.73358014408112,7.93438627024274,6.18650397929852,3.33175691710608,2.27958810846063,3.23797495080767,3.96925793352887,3.88424027196118,2.39074879218106,5.60091923594229,9.96641666093755
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
