Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,29.5337641916264,30.9272399436779,30.90323825115,31.1367192407735,31.1213721113498,30.725078228098,30.161679763031,29.3985276906689,28.4048995601154,27.6564012029549,27.34739147794,26.6189999400439,26.500016646713,26.412091901691,24.5964578828891,24.5310661885805,25.8874345670899,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,India,IND,-4628652265.34265,-5992285935.49798,-8201628957.6202,-24149749829.7088,-19485789182.6878,-11428785745.7844,-23890659988.138,-15442447342.912,-26388082470.2872,-22890162761.0214,-36495216490.7242,-39411278940.2538,-28875941053.3143,-30699661201.0258,-37469945322.0152,-53239697390.8242,-27488543123.438,..
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,India,IND,..,..,..,..,9.56530523039041,7.72334080992274,7.86856500680686,7.69991801319108,8.86996677961836,9.21716620337348,8.02187885520723,7.66035723093902,7.36067282279695,9.04035571931841,10.2234993586926,11.0322567956265,10.2122155392107,..
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,India,IND,29.5577084281612,31.929257387089,31.1924011619452,43.0279340157607,31.4565328485753,34.4102842549686,42.0924840461063,43.0348931495917,42.0227125539942,38.5264786379953,31.4739415988524,27.2874128929251,28.2547103120256,31.049345978658,28.620309156042,24.351123959702,30.4920663864199,..
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,India,IND,87.81561811,85.70052293,81.60509971,81.60509971,95.01240588,93.47166416,89.99256996,90.08283332,92.44597165,93.82252823,104.2283051,107.0105809,102.4693962,96.32259344,98.02427941,105.0955464,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,India,IND,14.9302344477445,8.63523314642692,15.5909922080123,9.65799265540479,6.0184103184778,6.81923327447653,6.4138689129389,6.71426990966754,8.08000121217609,18.6296205367074,11.2063383547997,17.2633780366708,10.0846698006647,11.3975539196566,9.00225595383776,15.1913040014798,7.31095199733126,..
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,710.509344850714,802.01374204738,1022.73162874643,993.503772474691,1096.63498033497,1350.63432207085,1449.60178853415,1434.01819806113,1438.05748041006,1559.86451848257,1590.17391842781,1714.28035526737,1957.968841235,1974.37778792366,2047.23270433512,1910.42147282449,2256.59040870506,..
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,
